ID,Matches played,Name,Highlander games,6's games,Defaults,Country
52912,375,JoeN,149,161,1,UnitedKingdom
120,372,b0nes,89,237,0,UnitedKingdom
17393,346,Dr. Phil,40,242,0,Denmark
12080,341,Ihor,112,167,0,Ukraine
91858,337,Sebastianey,92,175,0,Austria
71145,332,yak,102,192,2,UnitedKingdom
2184,329,schocky,20,269,0,Germany
91340,324,Leila,136,142,1,UnitedKingdom
72045,315,Menty,73,179,0,Germany
8016,311,Clark,134,73,0,Latvia
14394,310,Hildreth,78,164,0,England
63505,302,TimTum,66,173,1,Netherlands
11547,300,beach,76,180,1,UnitedKingdom
67379,298,Villdjack,101,152,3,Sweden
89548,297,robin,92,135,3,Italy
50335,285,Goz,69,195,1,Finland
71808,280,JackyLegs,105,114,2,Israel
89901,278,Detoed.,88,123,2,Ukraine
115930,278,Pahan,91,124,5,Russia
25221,271,dqz,85,136,0,Russia
95442,269,Included_Middle,106,123,5,England
576,266,F2,19,191,0,Denmark
9892,265,Gubbins,31,198,2,UnitedKingdom
92155,264,Boshy [ALTFS],75,114,3,Ukraine
92272,261,Bloodis,69,149,1,Finland
66863,261,Kimo,96,132,1,Denmark
21815,260,Sacrilege,64,137,0,Belgium
786,260,atomic-,57,80,1,Latvia
39487,258,Kuferl,74,125,0,Austria
86246,255,CeeJaey,83,148,0,Spain
76592,253,Tercio,102,106,2,Poland
57921,253,bugser,62,132,2,Russia
106347,253,Kosuke,81,123,0,Ireland
83320,250,Liko,90,134,2,Sweden
2788,250,kaidus,38,178,1,UnitedKingdom
24242,249,Mon,32,146,2,Russia
60690,247,Spreijer,87,94,2,Lithuania
112369,246,JENNY,72,129,3,Netherlands
59262,245,marten,33,179,0,Netherlands
1357,243,zoob,64,107,0,Finland
17956,243,uubers,57,122,4,Latvia
63891,241,Just1s,89,100,1,Lithuania
58862,240,tavi,29,166,1,Romania
315,240,b0binho,62,148,0,England
19674,239,Josh,35,183,0,Ireland
69882,238,Deox,74,119,0,Scotland
49395,235,sorex,54,153,0,Italy
67383,234,Fishage,78,134,2,UnitedKingdom
15430,227,JohnnyBambo,27,176,2,Germany
3246,227,TroX,52,114,2,Russia
93023,227,tuja,53,119,1,Hungary
90459,226,Kwq,53,131,2,Poland
9534,225,CeeGee,26,148,0,UnitedKingdom
94245,224,Raf,36,153,1,France
52957,223,Hei,74,101,0,Estonia
63578,223,neon,58,150,0,Finland
801,223,Fragm3nt3d,28,162,0,Scotland
19877,223,skeej,54,148,0,Netherlands
7272,222,Recluse,31,124,0,Russia
50139,219,Seal,86,112,0,Sweden
96071,219,kitten,51,140,0,Ireland
3986,218,WARHURYEAH,11,182,0,England
61126,217,greenrab,4,188,1,Scotland
72348,215,Meaff,74,100,0,Russia
63103,215,SOLAR,17,156,0,Poland
10218,214,CanFo,21,168,0,Germany
118074,214,Agen,59,128,0,Norway
90259,212,ixy,14,164,1,Italy
11802,212,Zebbosai,34,117,0,Sweden
18214,211,Thalash,41,132,0,Denmark
101704,211,Toast,82,96,1,Denmark
20593,211,ondkaja,49,105,1,Sweden
75452,210,adysky,63,105,2,Slovakia
43040,209,Fenrir,56,128,2,Scotland
68231,209,Scyper,50,125,0,Finland
66334,209,mezzo,84,84,0,Germany
68308,208,Raptor,49,110,1,Austria
105179,207,morale,60,121,0,UnitedKingdom
61441,207,Kauko,79,101,0,Finland
105451,206,mystt,43,127,0,Netherlands
58470,206,Kaylus,57,128,1,France
18096,206,Starkie,13,157,1,UnitedKingdom
70031,206,kaptain,16,150,0,Netherlands
96730,205,TheMeerCat,64,122,0,UnitedKingdom
3355,205,Predz,32,147,0,Ireland
94955,204,proky,87,87,0,England
117261,204,Gazy,33,152,0,Germany
91031,203,Mayh,82,78,0,England
113682,203,Mimo,67,128,0,Finland
66808,202,Graba,42,115,0,Poland
3633,200,basH.,2,116,2,Germany
90713,200,ZYKAZ,50,130,2,Germany
113520,200,stan,64,100,3,Poland
14782,200,NeuTronas,22,114,3,Lithuania
6983,199,catman,69,77,3,Russia
51621,198,amppis,8,146,3,Finland
50128,198,Eniere,62,97,0,Russia
