,Unnamed: 0,ID,Matches played,Name,Highlander games,6's games,Defaults,Country,Joined,Points
0,0,52912,375,JoeN,149,161,1,UnitedKingdom,3803,1231.0
1,1,120,372,b0nes,89,237,0,UnitedKingdom,5230,1003.0
2,2,17393,346,Dr. Phil,40,242,0,Denmark,4465,1194.0
3,3,12080,341,Ihor,112,167,0,Ukraine,4612,971.0
4,4,91858,337,Sebastianey,92,175,0,Austria,3068,1061.0
5,5,71145,332,yak,102,192,2,UnitedKingdom,3394,907.0
6,6,2184,329,schocky,20,269,0,Germany,5021,1237.0
7,7,91340,324,Leila,136,142,1,UnitedKingdom,3091,1079.0
8,8,72045,315,Menty,73,179,0,Germany,3377,1019.0
9,9,8016,311,Clark,134,73,0,Latvia,4755,961.0
10,10,14394,310,Hildreth,78,164,0,England,4552,1047.0
11,11,63505,302,TimTum,66,173,1,Netherlands,3540,939.0
12,12,11547,300,beach,76,180,1,UnitedKingdom,4628,780.0
13,13,67379,298,Villdjack,101,152,3,Sweden,3454,981.0
14,14,89548,297,robin,92,135,3,Italy,3187,935.0
15,15,50335,285,Goz,69,195,1,Finland,3822,904.0
16,16,71808,280,JackyLegs,105,114,2,Israel,3380,1044.0
17,17,89901,278,Detoed.,88,123,2,Ukraine,3170,835.0
18,18,115930,278,Pahan,91,124,5,Russia,2428,805.0
19,19,25221,271,dqz,85,136,0,Russia,4257,839.0
20,20,95442,269,Included_Middle,106,123,5,England,2898,879.0
21,21,576,266,F2,19,191,0,Denmark,5133,938.0
22,22,9892,265,Gubbins,31,198,2,UnitedKingdom,4683,789.0
23,23,92155,264,Boshy [ALTFS],75,114,3,Ukraine,3049,776.0
24,24,92272,261,Bloodis,69,149,1,Finland,3041,755.0
25,25,66863,261,Kimo,96,132,1,Denmark,3460,610.0
26,26,21815,260,Sacrilege,64,137,0,Belgium,4364,718.0
27,27,786,260,atomic-,57,80,1,Latvia,5110,598.0
28,28,39487,258,Kuferl,74,125,0,Austria,4230,718.0
29,29,86246,255,CeeJaey,83,148,0,Spain,3249,869.0
30,30,76592,253,Tercio,102,106,2,Poland,3317,772.0
31,31,57921,253,bugser,62,132,2,Russia,3718,777.0
32,32,106347,253,Kosuke,81,123,0,Ireland,2695,736.0
33,33,83320,250,Liko,90,134,2,Sweden,3267,706.0
34,34,2788,250,kaidus,38,178,1,UnitedKingdom,4992,986.0
35,35,24242,249,Mon,32,146,2,Russia,4271,822.0
36,36,60690,247,Spreijer,87,94,2,Lithuania,3668,837.0
37,37,112369,246,JENNY,72,129,3,Netherlands,2560,706.0
38,38,59262,245,marten,33,179,0,Netherlands,3686,684.0
39,39,1357,243,zoob,64,107,0,Finland,5048,839.0
40,40,17956,243,uubers,57,122,4,Latvia,4454,841.0
41,41,63891,241,Just1s,89,100,1,Lithuania,3518,725.0
42,42,58862,240,tavi,29,166,1,Romania,3690,579.0
43,43,315,240,b0binho,62,148,0,England,5185,668.0
44,44,19674,239,Josh,35,183,0,Ireland,4404,742.0
45,45,69882,238,Deox,74,119,0,Scotland,3416,775.0
46,46,49395,235,sorex,54,153,0,Italy,3829,796.0
47,47,67383,234,Fishage,78,134,2,UnitedKingdom,3454,540.0
48,48,15430,227,JohnnyBambo,27,176,2,Germany,4515,674.0
49,49,3246,227,TroX,52,114,2,Russia,4982,677.0
50,50,93023,227,tuja,53,119,1,Hungary,3003,688.0
51,51,90459,226,Kwq,53,131,2,Poland,3140,821.0
52,52,9534,225,CeeGee,26,148,0,UnitedKingdom,4698,557.0
53,53,94245,224,Raf,36,153,1,France,2945,626.0
54,54,52957,223,Hei,74,101,0,Estonia,3803,618.0
55,55,63578,223,neon,58,150,0,Finland,3536,746.0
56,56,801,223,Fragm3nt3d,28,162,0,Scotland,5109,619.0
57,57,19877,223,skeej,54,148,0,Netherlands,4398,615.0
58,58,7272,222,Recluse,31,124,0,Russia,4790,699.0
59,59,50139,219,Seal,86,112,0,Sweden,3822,739.0
60,60,96071,219,kitten,51,140,0,Ireland,2887,620.0
61,61,3986,218,WARHURYEAH,11,182,0,England,4948,668.0
62,62,61126,217,greenrab,4,188,1,Scotland,3653,700.0
63,63,72348,215,Meaff,74,100,0,Russia,3372,660.0
64,64,63103,215,SOLAR,17,156,0,Poland,3562,778.0
65,65,10218,214,CanFo,21,168,0,Germany,4667,615.0
66,66,118074,214,Agen,59,128,0,Norway,2317,555.0
67,67,90259,212,ixy,14,164,1,Italy,3152,612.0
68,68,11802,212,Zebbosai,34,117,0,Sweden,4621,823.0
69,69,18214,211,Thalash,41,132,0,Denmark,4446,920.0
70,70,101704,211,Toast,82,96,1,Denmark,2842,797.0
71,71,20593,211,ondkaja,49,105,1,Sweden,4379,742.0
72,72,75452,210,adysky,63,105,2,Slovakia,3325,706.0
73,73,43040,209,Fenrir,56,128,2,Scotland,4051,589.0
74,74,68231,209,Scyper,50,125,0,Finland,3442,629.0
75,75,66334,209,mezzo,84,84,0,Germany,3470,836.0
76,76,68308,208,Raptor,49,110,1,Austria,3441,665.0
77,77,105179,207,morale,60,122,0,UnitedKingdom,2748,757.0
78,78,61441,207,Kauko,79,101,0,Finland,3645,625.0
79,79,105451,206,mystt,43,127,0,Netherlands,2736,705.0
80,80,58470,206,Kaylus,57,128,1,France,3710,574.0
81,81,18096,206,Starkie,13,157,1,UnitedKingdom,4450,899.0
82,82,70031,206,kaptain,16,150,0,Netherlands,3413,906.0
83,83,96730,205,TheMeerCat,64,122,0,UnitedKingdom,2862,643.0
84,84,3355,205,Predz,32,147,0,Ireland,4976,598.0
85,85,94955,204,proky,87,87,0,England,2909,749.0
86,86,117261,204,Gazy,33,153,0,Germany,2361,714.0
87,87,91031,203,Mayh,82,78,0,England,3109,730.0
88,88,113682,203,Mimo,67,128,0,Finland,2521,657.0
89,89,66808,202,Graba,42,115,0,Poland,3460,556.0
90,90,3633,200,basH.,2,116,2,Germany,4965,678.0
91,91,90713,200,ZYKAZ,50,130,2,Germany,3128,773.0
92,92,113520,200,stan,64,100,3,Poland,2524,622.0
93,93,14782,200,NeuTronas,22,114,3,Lithuania,4537,478.0
94,94,6983,199,catman,69,77,3,Russia,4801,555.0
95,95,51621,198,amppis,8,146,3,Finland,3814,692.0
96,96,50128,198,Eniere,62,97,0,Russia,3822,583.0
97,97,18583,198,SaSHAAA@,67,118,1,Ukraine,4434,599.0
98,98,63795,198,MARS^,72,82,0,Germany,3523,685.0
99,99,67113,197,squirrel_BVC,31,150,1,UnitedKingdom,3457,464.0
100,100,92627,197,shades,63,106,1,England,3019,641.0
101,101,100302,196,gedu,41,119,2,CzechRepublic,2850,623.0
102,102,67640,195,Morni,46,137,4,Finland,3451,561.0
103,103,58890,193,Muuki,52,105,0,Finland,3689,692.0
104,104,95083,193,Murpheey,94,61,1,Germany,2906,773.0
105,105,92146,193,eepily,18,170,0,England,3050,520.0
106,106,111886,193,nubbi,54,99,3,Hungary,2576,723.0
107,107,93598,193,Funs,35,112,1,Wales,2977,708.0
108,108,109742,192,AustinN,73,98,2,England,2639,649.0
109,109,57764,192,Néo,13,163,1,France,3721,701.0
110,110,879,192,WhiZZkiD,35,122,1,Poland,5102,521.0
111,111,80325,192,Ignis,14,143,0,Germany,3287,606.0
112,112,20748,191,Permzilla,45,114,3,UnitedKingdom,4378,646.0
113,113,118746,191,hondjo,75,84,0,Netherlands,2278,521.0
114,114,5169,190,NiKoRo,70,84,0,Finland,4882,545.0
115,115,23755,190,lippy,35,97,2,Ukraine,4306,503.0
116,116,4020,189,PingWIN,24,106,1,Hungary,4946,534.0
117,117,47721,188,Drackk,13,143,0,England,3860,735.0
118,118,75949,187,Sepu,70,99,3,Finland,3321,514.0
119,119,52746,187,Ombrack,18,150,1,France,3805,655.0
120,120,59814,185,misha YB`g,13,139,3,CzechRepublic,3682,583.0
121,121,8651,184,Crime [ALTFS],54,101,2,Russia,4735,570.0
122,122,44406,184,sheepy dog's hand,13,133,0,Scotland,3921,538.0
123,123,71785,184,Mop,18,155,4,UnitedKingdom,3381,519.0
124,124,49047,183,Pot8o,15,140,3,Denmark,3835,594.0
125,125,105578,183,nicco,26,138,2,Germany,2729,580.0
126,126,50411,183,Smirre,11,144,1,Sweden,3821,601.0
127,127,50117,183,HartzFartz,100,30,1,Switzerland,3822,444.0
128,128,19491,183,MEGAMIDDIE,6,151,2,England,4408,590.0
129,129,81768,183,thedog,35,128,2,UnitedKingdom,3276,557.0
130,130,112699,182,dempsey,59,96,1,Ireland,2547,598.0
131,131,117912,182,Jorge,29,137,1,Spain,2326,540.0
132,132,95085,182,Walter Weiss,96,40,1,Germany,2906,589.0
133,133,9829,181,fränk,18,156,0,Germany,4686,492.0
134,134,18321,181,Cauthon,43,118,0,Finland,4442,541.0
135,135,78334,180,sneaky the cat,64,82,2,Wales,3303,567.0
136,136,92009,180,Olgha,32,118,1,France,3058,531.0
137,137,95065,180,31,48,98,1,Portugal,2906,571.0
138,138,103697,180,basedgod,13,142,4,CzechRepublic,2801,639.0
