ID,Matches played,Name,Highlander games,6's games,Points,Defaults,Country,Joined
52912,375,JoeN,185,192,1437,0,UnitedKingdom,4637
120,372,b0nes,89,283,1133,0,UnitedKingdom,6064
17393,346,Dr. Phil,40,256,1230,0,Denmark,5299
12080,341,Ihor,112,167,977,0,Ukraine,5446
91858,337,Sebastianey,140,231,1478,0,Austria,3902
71145,332,yak,131,230,1146,2,Netherlands,4228
2184,329,schocky,20,289,1336,0,Germany,5855
91340,324,Leila,170,172,1267,1,UnitedKingdom,3925
72045,315,Menty,74,181,1019,0,Germany,4211
8016,311,Clark,175,73,1176,2,Latvia,5589
14394,310,Hildreth,79,184,1118,0,England,5386
63505,302,TimTum,66,189,995,3,Netherlands,4374
11547,300,beach,76,207,866,0,UnitedKingdom,5462
67379,298,Villdjack,107,174,1038,1,Sweden,4288
89548,297,robin,98,149,1004,0,Italy,4021
50335,285,Goz,69,199,914,1,Finland,4656
71808,280,JackyLegs,145,114,1296,0,Israel,4214
115930,278,Pahan,101,156,965,1,Russia,3262
89901,278,Detoed.,88,123,835,2,Ukraine,4004
25221,271,dqz,103,167,1027,0,Russia,5091
95442,269,Included_Middle,108,138,909,6,England,3732
576,266,F2,19,191,950,0,Denmark,5967
9892,265,Gubbins,31,207,792,2,UnitedKingdom,5517
92155,264,Boshy [ALTFS],91,115,827,3,Ukraine,3883
66863,261,Kimo,144,178,869,2,Denmark,4294
92272,261,Bloodis,69,155,769,1,Finland,3875
786,260,atomic-,57,80,598,1,Latvia,5944
21815,260,Sacrilege,74,145,781,1,Belgium,5198
39487,258,Kuferl,74,139,753,0,Austria,5063
86246,255,CeeJaey,83,175,922,0,Spain,4083
76592,253,Tercio,112,119,862,3,Poland,4151
57921,253,bugser,62,132,777,2,Russia,4552
106347,253,Kosuke,100,147,866,0,Ireland,3529
2788,250,kaidus,38,178,986,1,UnitedKingdom,5826
83320,250,Liko,117,169,918,0,Sweden,4101
24242,249,Mon,36,152,864,3,Russia,5105
60690,247,Spreijer,91,104,893,4,Lithuania,4502
112369,246,JENNY,85,156,830,5,Netherlands,3394
59262,245,marten,33,191,697,0,Netherlands,4520
17956,243,uubers,61,122,856,4,Latvia,5288
1357,243,zoob,64,107,839,0,Finland,5882
63891,241,Just1s,112,118,878,1,Lithuania,4352
315,240,b0binho,62,168,730,0,England,6019
58862,240,tavi,29,207,708,2,Romania,4524
19674,239,Josh,35,212,860,1,Ireland,5238
69882,238,Deox,80,131,820,1,Scotland,4250
49395,235,sorex,54,153,796,0,Italy,4663
67383,234,Fishage,121,175,737,1,UnitedKingdom,4288
15430,227,JohnnyBambo,27,176,674,2,Germany,5349
93023,227,tuja,53,120,691,1,Hungary,3837
3246,227,TroX,52,114,677,2,Russia,5815
90459,226,Kwq,90,140,991,2,Poland,3974
9534,225,CeeGee,26,148,557,0,UnitedKingdom,5532
94245,224,Raf,36,161,662,2,France,3779
63578,223,neon,58,160,765,0,Finland,4370
52957,223,Hei,74,105,631,0,Estonia,4637
19877,223,skeej,54,152,623,0,Netherlands,5232
801,223,Fragm3nt3d,28,162,619,0,Scotland,5942
7272,222,Recluse,31,124,699,0,Russia,5624
96071,219,Crayon,56,148,666,0,Ireland,3721
50139,219,Seal,86,112,739,0,Sweden,4656
3986,218,WARHURYEAH,11,198,736,0,England,5782
61126,217,greenrab,4,193,713,1,Scotland,4487
72348,215,Meaff,81,100,695,0,Russia,4206
63103,215,wonszu,17,179,867,0,Poland,4396
118074,214,Agen,75,182,862,0,Norway,3151
10218,214,CanFo,21,168,615,0,Germany,5501
11802,212,Zebbosai,34,117,823,0,Sweden,5455
90259,212,ixy,14,201,788,1,Italy,3986
101704,211,Toast,82,103,822,1,Denmark,3676
20593,211,ondkaja,49,120,813,1,Sweden,5213
18214,211,Thalash,41,133,923,0,Denmark,5280
75452,210,adysky,63,122,762,2,Slovakia,4159
68231,209,Scyper,50,125,629,0,Finland,4276
66334,209,mezzo,123,88,1090,0,Germany,4304
43040,209,Fenrir,56,141,618,2,Scotland,4885
68308,208,Raptor,49,110,665,1,Austria,4275
61441,207,Kauko,92,107,693,0,Finland,4479
105179,207,morale,60,148,884,1,UnitedKingdom,3582
70031,206,kaptain,16,154,930,0,Netherlands,4247
58470,206,Kaylus,68,140,641,1,France,4544
105451,206,mystt,43,141,768,0,Netherlands,3569
18096,206,Starkie,13,157,899,1,UnitedKingdom,5284
3355,205,Predz,32,194,737,0,Ireland,5810
96730,205,TheMeerCat,70,122,666,0,UnitedKingdom,3696
117261,204,Gazy,33,178,807,0,Germany,3195
94955,204,proky,88,87,749,0,England,3743
113682,203,Mimo,86,167,870,2,Finland,3355
91031,203,Mayh,121,99,1046,1,England,3943
66808,202,Graba,44,120,565,1,Poland,4294
90713,200,ZYKAZ,50,141,814,0,Germany,3962
3633,200,basH.,2,116,678,2,Germany,5799
14782,200,NeuTronas,22,114,478,0,Lithuania,5371
113520,200,PRO+MOC=JA,68,114,725,2,Poland,3358
6983,199,catman,69,77,555,3,Russia,5635
63795,198,MARS^,79,105,799,0,Germany,4357
50128,198,Eniere,62,97,583,0,Russia,4656
51621,198,amppis,8,182,830,1,Finland,4648
18583,198,SaSHAAA@,67,118,606,0,Ukraine,5268
92627,197,shades,67,138,730,1,England,3853
67113,197,squirrel_BVC,31,157,483,1,UnitedKingdom,4291
100302,196,gedu,69,136,842,2,CzechRepublic,3684
67640,195,Morni,46,139,564,4,Finland,4285
111886,193,nubbi,64,125,916,1,Hungary,3410
93598,193,Funs,35,112,708,1,Wales,3811
58890,193,Muuki,56,113,762,0,Finland,4523
92146,193,eepily,18,175,528,0,England,3884
95083,193,Murpheey,94,61,782,1,Germany,3740
80325,192,Ignis,14,147,622,0,Germany,4121
879,192,wonder,37,126,533,1,Poland,5936
57764,192,Néo,13,173,737,0,France,4555
109742,192,AustinN,74,98,649,2,England,3473
20748,191,Permzilla,45,115,646,3,UnitedKingdom,5211
118746,191,hondjo,112,119,773,0,Netherlands,3112
5169,190,NiKoRo,70,84,545,0,Finland,5715
23755,190,lippy,35,97,503,2,Ukraine,5139
4020,189,PingWIN,24,106,534,1,Hungary,5779
47721,188,Drackk,13,143,735,0,England,4693
75949,187,Sepu,82,103,558,1,Finland,4155
52746,187,Ombrack,18,150,655,1,France,4639
59814,185,misha YB`g,13,142,586,3,CzechRepublic,4516
44406,184,sheepy dog's hand,14,142,570,1,Scotland,4755
8651,184,Crime [ALTFS],54,101,570,2,Russia,5569
71785,184,Mop,18,155,519,4,UnitedKingdom,4215
50117,183,HartzFartz,116,48,551,1,Switzerland,4656
50411,183,Smirre,11,154,644,1,Sweden,4655
19491,183,MEGAMIDDIE,6,155,600,2,England,5242
81768,183,Condawg,36,159,667,1,UnitedKingdom,4110
49047,183,Pot8o,15,147,607,3,Denmark,4669
105578,183,nicco,26,193,783,1,Germany,3563
117912,182,Jorge,29,137,518,1,Spain,3160
95085,182,Walter Weiss,110,49,679,0,Germany,3740
112699,182,dempsey,91,135,901,0,Ireland,3381
18321,181,Cauthon,43,118,541,0,Finland,5276
9829,181,fränk,18,156,492,0,Germany,5519
103697,180,basedgod,13,155,682,4,CzechRepublic,3634
92009,180,Olgha,32,124,543,1,France,3892
95065,180,31,51,108,604,1,Portugal,3740
78334,180,$neaky,97,128,814,1,Wales,4137
5886,179,Brego,13,112,542,2,Germany,5680
65211,179,kermit,19,138,520,1,Scotland,4325
23791,179,n1ven,39,114,586,1,Hungary,5138
28069,179,Tombahh,57,105,566,3,Finland,5089
42683,179,dima,57,94,634,4,Russia,4919
90949,178,drew,117,51,574,0,Israel,3947
55481,177,Icewind,121,114,597,3,Netherlands,4595
55082,177,Silentes,14,162,927,1,UnitedKingdom,4602
14930,177,Spicy,16,127,464,2,Russia,5366
48872,176,Quantum Plumber,56,95,545,0,UnitedKingdom,4673
15525,175,Santtu,35,98,506,2,Finland,5347
66466,175,STiNGHAN,127,54,697,0,Poland,4301
89864,175,Nagi,33,119,558,3,Wales,4005
58156,175,zen1th,21,136,704,1,Seychelles,4549
11636,175,Monkeh,18,73,364,1,England,5460
10194,174,Kiler4fun,16,104,575,1,Portugal,5503
32017,174,So||o Wo|o,6,129,526,1,Spain,5085
9035,174,T0m,22,129,533,1,England,5553
17492,174,Hafficool,15,100,582,1,Iceland,5298
17983,173,Raymon,27,128,752,1,UnitedKingdom,5288
94609,173,Demos,55,117,613,0,Romania,3759
104289,173,Domo,12,177,847,2,UnitedKingdom,3614
21204,173,Buttnose,29,94,488,1,UnitedKingdom,5206
86050,173,Krun,15,129,474,0,CzechRepublic,4084
115289,173,kola,50,106,497,1,Finland,3289
107063,173,Chef Excellence,55,125,609,1,UnitedKingdom,3500
102697,173,Dave_IR8,77,61,431,0,UnitedKingdom,3661
3841,173,wltrs,9,125,587,1,Sweden,5789
4032,172,Gas13,31,110,453,1,Russia,5779
94719,172,cloudy,89,54,621,2,England,3751
63583,171,009EFF,23,133,556,7,Belgium,4370
74241,171,DCS,51,113,436,2,Germany,4174
72079,170,LionKing,88,85,551,0,Germany,4210
23324,170,TheSucker,38,43,553,0,Sweden,5155
9871,169,droso,38,88,556,0,Belgium,5518
105478,169,Vclox_,123,103,824,1,England,3568
70868,169,Bob Bami,60,77,499,1,Netherlands,4234
12561,168,.kr4tos,12,138,498,0,Germany,5433
95146,168,Elacour,18,142,594,2,France,3738
108915,168,B4ro,57,94,463,3,UnitedKingdom,3479
89942,167,Corbac,6,147,592,1,France,4002
62632,167,feeling,28,95,540,0,Germany,4425
104976,167,Traitor,24,163,650,0,Norway,3591
90085,167,credu,19,126,694,2,Finland,3995
60764,166,Fischkopf,5,169,643,5,Germany,4499
62090,166,Aoshi,57,88,475,2,Belgium,4454
18644,166,smziii,23,116,599,2,Germany,5266
107775,166,Sprasty,62,92,543,1,Italy,3488
9994,166,kKaltUu,60,65,473,1,Netherlands,5511
11433,166,Mike,7,125,699,0,Wales,5465
101642,166,Buck824,113,39,536,3,England,3676
5975,165,H...,26,98,430,3,England,5676
43456,165,caeli,28,91,380,2,Spain,4848
89279,165,dd5f,18,103,560,5,Germany,4038
91430,165,Dowel,87,130,661,2,England,3922
11076,164,scatmo,17,120,387,1,Spain,5473
61388,164,Der_Milchmann,69,71,554,2,Germany,4480
1242,164,Netsky,0,129,436,1,Luxembourg,5894
48222,163,Muffinz,34,129,615,2,Finland,4684
104999,163,Beckler,65,88,424,1,Germany,3589
96545,163,Princess Luna,58,108,509,2,Finland,3702
112758,162,maly,18,130,538,2,Poland,3378
66898,162,alle,27,94,572,1,Sweden,4293
91077,162,Silver,67,105,586,0,Russia,3940
104286,161,Vouri,41,106,494,2,England,3615
58226,161,alba,10,145,605,0,Sweden,4548
63260,161,quintosh,76,54,573,0,Germany,4390
65899,161,Mac,21,145,544,1,UnitedKingdom,4312
96658,160,El Beno,48,129,447,3,England,3698
92327,160,chando,66,81,482,0,England,3871
120113,160,lc50,68,62,463,2,Russia,3054
14356,159,ash,1,161,489,0,Germany,5387
107814,159,SchmitShot,69,131,673,0,France,3487
20076,159,NKF,35,107,404,0,Germany,5226
83579,159,tobs,6,131,476,0,Denmark,4099
13753,159,Setlet,19,97,476,1,Finland,5408
2970,158,Adrenaline,19,106,534,1,Italy,5822
113797,158,auto,56,145,823,1,UnitedKingdom,3351
126040,157,Elsbeth,86,115,646,1,International,2719
15442,157,crizzl,4,124,532,1,Denmark,5349
90611,156,AlienSmiley,12,174,611,0,France,3967
97365,156,Flowy,62,83,479,1,Austria,3693
3885,156,irfx,49,60,453,1,Russia,5788
93698,156,deli69,34,154,687,1,France,3805
4359,156,Jose,14,97,440,0,Finland,5763
16433,155,Swi,18,115,540,0,Sweden,5324
58865,155,aidelos,13,129,510,0,Germany,4524
113699,155,Aga,80,79,515,3,Finland,3354
71150,155,Twisted,37,97,485,2,Sweden,4228
10598,155,Mont,11,155,494,2,UnitedKingdom,5484
17174,155,Linus,42,74,503,0,Hungary,5302
94313,154,Silver Tosspot,66,69,529,3,Sweden,3775
9924,154,Flippy,25,96,570,3,France,5515
107064,154,Shaggy,61,73,525,2,Belgium,3500
17660,154,Beater,22,102,442,2,Denmark,5295
90327,153,Collaide,3,116,427,2,Sweden,3982
89537,153,Spanns,61,88,465,1,Portugal,4022
10965,153,Shampoo,23,106,508,1,Romania,5475
96203,152,Turboapina,28,89,539,2,Finland,3715
24035,152,kalhó,10,82,406,3,Portugal,5121
101380,152,Acecle,37,95,437,2,UnitedKingdom,3678
60043,152,mak,37,139,681,2,England,4513
93427,152,fundo,70,102,624,0,Finland,3820
3982,152,FlagZero,11,74,324,0,Croatia,5782
59942,152,skyro,39,88,391,1,Netherlands,4514
24401,152,mici,12,106,459,2,Hungary,5093
15596,152,Tek,23,99,540,1,France,5346
849,152,SnowiE,1,97,358,0,England,5939
59084,152,Horppi,53,86,484,0,Finland,4521
63718,151,Grenja,72,54,509,1,UnitedKingdom,4361
9555,151,ryder,6,120,471,1,Iceland,5531
77792,151,juju,95,52,407,2,Finland,4141
59397,151,Bonkers,16,95,628,0,Poland,4519
30301,151,EmilioEstevez,107,11,632,1,UnitedKingdom,5087
59560,151,junnu,18,133,512,2,Finland,4518
110060,150,Yxxo,51,70,503,0,Norway,3469
77,150,Haunter,30,87,494,0,Portugal,6074
21478,150,TviQ,25,59,519,0,Sweden,5202
88924,150,Jynxii,30,114,537,3,England,4059
65160,150,JuniorFerrariMafia,51,61,440,1,Ukraine,4326
2633,150,mèx,24,89,504,0,Italy,5828
101131,149,lor_is,23,116,372,0,UnitedKingdom,3680
22673,149,dmoule,14,127,569,1,France,5177
115603,149,DigyB,36,96,512,0,Ireland,3275
92157,149,zeFrosty,13,160,582,1,Scotland,3883
30730,149,Maxi,39,91,362,1,England,5087
40957,149,Caoul!,16,114,419,1,Sweden,5031
47228,149,Punkka,29,103,457,6,Finland,4702
4326,149,Nikola,9,98,421,0,Bulgaria,5764
75941,149,calle cool,41,107,473,2,Sweden,4155
89833,149,anni,108,50,698,1,Netherlands,4006
62952,149,Celreo,67,95,468,2,England,4404
109413,148,Zim,13,166,485,1,Belgium,3476
16820,148,frixx,10,113,408,0,Slovenia,5312
2266,148,sammie,0,125,435,0,Russia,5851
116732,148,tikkeh,61,106,569,0,Lithuania,3225
124309,148,Breez,22,102,436,4,CzechRepublic,2890
